CrimeDate,CrimeTime,CrimeCode,Location,Description,Weapon,Neighborhood,Location 1
10/20/15,0:46:00,4C,1400 MULLIKIN CT,AGG. ASSAULT,OTHER,Dunbar-Broadway,"(39.2944300000, -76.5986100000)"
10/20/15,1:00:00,6E,5400 REISTERSTOWN RD,LARCENY,,Woodmere,"(39.3470100000, -76.6893300000)"
10/20/15,1:01:00,6E,2900 KIRK AVE,LARCENY,,Coldstream Homestead Montebello,"(39.3245100000, -76.5957000000)"
10/20/15,1:01:00,5A,3600 DUDLEY AVE,BURGLARY,,Belair-Edison,"(39.3190000000, -76.5612900000)"
10/20/15,15:15:00,3AK,2400 E NORTHERN PKWY,ROBBERY - STREET,KNIFE,Hamilton Hills,"(39.3677700000, -76.5650800000)"
10/20/15,15:15:00,3B,3100 HARFORD RD,ROBBERY - STREET,,Coldstream Homestead Montebello,"(39.3261100000, -76.5853500000)"
10/20/15,15:40:00,4E,3700 W ROGERS AVE,COMMON ASSAULT,HANDS,Arlington,"(39.3508400000, -76.6848900000)"
10/20/15,15:40:00,6D,200 E UNIVERSITY PKWY,LARCENY FROM AUTO,,Oakenshawe,"(39.3304900000, -76.6145100000)"
10/20/15,15:50:00,4E,2600 E NORTHERN PKWY,COMMON ASSAULT,HANDS,Hamilton Hills,"(39.3661100000, -76.5604900000)"
10/20/15,15:50:00,4E,2500 E NORTHERN PKWY,COMMON ASSAULT,HANDS,Hamilton Hills,"(39.3667400000, -76.5622400000)"
10/20/15,19:05:00,3B,2800 W NORTH AVE,ROBBERY - STREET,,Walbrook,"(39.3092500000, -76.6642800000)"
10/20/15,19:20:00,6C,3600 KESWICK RD,LARCENY,,Wyman Park,"(39.3321700000, -76.6280500000)"
10/20/15,19:30:00,5A,3100 ELLERSLIE AVE,BURGLARY,,Better Waverly,"(39.3260800000, -76.6045100000)"
10/20/15,19:30:00,7A,4800 GWYNN OAK AVE,AUTO THEFT,,Howard Park,"(39.3305300000, -76.6978200000)"
10/20/15,19:45:00,4E,4400 ELDONE RD,COMMON ASSAULT,HANDS,Yale Heights,"(39.2766800000, -76.6905900000)"
10/20/15,20:00:00,7A,1600 BURNWOOD RD,AUTO THEFT,,Perring Loch,"(39.3538500000, -76.5857200000)"
10/20/15,7:00:00,7C,6300 MOYER AVE,AUTO THEFT,,Westfield,"(39.3569000000, -76.5461900000)"
10/20/15,7:00:00,5A,4400 HARCOURT RD,BURGLARY,,Arcadia,"(39.3365000000, -76.5662400000)"
10/20/15,7:30:00,3AF,1200 N ROSE ST,ROBBERY - STREET,FIREARM,Berea,"(39.3051400000, -76.5822200000)"
10/20/15,7:30:00,4E,4900 HARFORD RD,COMMON ASSAULT,HANDS,Waltherson,"(39.3458200000, -76.5668800000)"
10/20/15,8:00:00,6E,2800 W BELVEDERE AVE,LARCENY,,Central Park Heights,"(39.3522500000, -76.6699000000)"
10/20/15,8:00:00,5A,4100 WESTCHESTER RD,BURGLARY,,Windsor Hills,"(39.3192700000, -76.6884700000)"
10/20/15,8:00:00,5A,100 N POTOMAC ST,BURGLARY,,Patterson Park Neighborhood,"(39.2941600000, -76.5749400000)"
10/20/15,8:00:00,6J,5600 BELLE VISTA AVE,LARCENY,,Glenham-Belhar,"(39.3447600000, -76.5486000000)"
10/20/15,8:05:00,6D,800 BRADDISH AVE,LARCENY FROM AUTO,,Mosher,"(39.2967100000, -76.6595400000)"
10/20/15,8:11:00,4A,1500 N KENWOOD AVE,AGG. ASSAULT,FIREARM,Berea,"(39.3082300000, -76.5786100000)"
10/20/15,8:20:00,7A,4500 FREDERICK AVE,AUTO THEFT,,Irvington,"(39.2815400000, -76.6911000000)"
10/20/15,8:30:00,5A,300 MARYDELL RD,BURGLARY,,Irvington,"(39.2796000000, -76.6896700000)"
10/20/15,8:44:00,6C,600 E 33RD ST,LARCENY,,Better Waverly,"(39.3282900000, -76.6081300000)"
10/20/15,811,9S,1500 N KENWOOD AV,SHOOTING,FIREARM,Berea,"(39.3082300000, -76.5786100000)"
10/20/15,14:35:00,4F,2200 N FULTON AVE,ASSAULT BY THREAT,,Penn North,"(39.3141300000, -76.6452600000)"
10/20/15,14:45:00,4F,3400 ELMORA AVE,ASSAULT BY THREAT,,Four By Four,"(39.3159400000, -76.5752300000)"
10/20/15,14:55:00,4E,200 S EATON ST,COMMON ASSAULT,HANDS,Highlandtown,"(39.2894100000, -76.5654300000)"
