CrimeDate,CrimeTime,CrimeCode,Location,Description,Weapon,Neighborhood,Location 1
3/5/16,9:25:00,6B,5000 HARFORD RD,LARCENY,,Waltherson,"(39.3473800000, -76.5655800000)"
3/5/16,1:30:00,4E,1500 RUSSELL ST,COMMON ASSAULT,HANDS,Carroll - Camden Industrial Area,"(39.2740800000, -76.6276900000)"
3/5/16,10:00:00,5A,200 ROBERT ST,BURGLARY,,Bolton Hill,"(39.3097100000, -76.6302900000)"
3/5/16,10:18:00,7A,1700 BRADDISH AVE,AUTO THEFT,,Coppin Heights/Ash-Co-East,"(39.3076100000, -76.6610000000)"
3/5/16,10:38:00,4E,2400 KERMIT CT,COMMON ASSAULT,HANDS,Westport,"(39.2627300000, -76.6407500000)"
3/5/16,11:00:00,5B,5100 PLAINFIELD AVE,BURGLARY,,Frankford,"(39.3324800000, -76.5502400000)"
3/5/16,11:30:00,4C,1000 WILMOT CT,AGG. ASSAULT,OTHER,Oldtown,"(39.2993600000, -76.6033400000)"
3/5/16,11:30:00,4B,1000 WILMOT CT,AGG. ASSAULT,KNIFE,Oldtown,"(39.2993600000, -76.6033400000)"
3/5/16,1:05:00,3AF,1000 E PRATT ST,ROBBERY - STREET,FIREARM,Little Italy,"(39.2879500000, -76.6014000000)"
3/5/16,11:30:00,6D,0 W PRATT ST,LARCENY FROM AUTO,,Downtown West,"(39.2865000000, -76.6153500000)"
3/5/16,12:00:00,7A,RD & DARLEY AV,AUTO THEFT,,East Baltimore Midway,"(39.3150300000, -76.5971300000)"
3/5/16,12:14:00,4E,6800 BOSTON AVE,COMMON ASSAULT,HANDS,Graceland Park,"(39.2803300000, -76.5301200000)"
3/5/16,12:14:00,4D,6800 BOSTON AVE,AGG. ASSAULT,HANDS,Graceland Park,"(39.2803300000, -76.5301200000)"
3/5/16,12:20:00,3NF,500 E 28TH ST,ROBBERY - STREET,FIREARM,Better Waverly,"(39.3221700000, -76.6092200000)"
3/5/16,12:30:00,6G,3200 GREENMOUNT AVE,LARCENY,,Abell,"(39.3273100000, -76.6094500000)"
3/5/16,12:47:00,4D,500 GOLD ST,AGG. ASSAULT,HANDS,Druid Heights,"(39.3081700000, -76.6384500000)"
3/5/16,13:58:00,6C,100 N WOLFE ST,LARCENY,,Washington Hill,"(39.2932300000, -76.5905300000)"
3/5/16,15:45:00,6A,HOWARD ST & W LEXINGTON ST,LARCENY,,Downtown,"(39.2915500000, -76.6195700000)"
3/5/16,0:29:00,4B,5400 PARK HEIGHTS AVE,AGG. ASSAULT,KNIFE,Arlington,"(39.3503400000, -76.6805500000)"
3/5/16,0:00:00,6G,1000 BETHUNE RD,LARCENY,,Cherry Hill,"(39.2434600000, -76.6265300000)"
3/5/16,0:44:00,4E,GROVE ST & EDMONDSON AV,COMMON ASSAULT,HANDS,Franklintown Road,"(39.2944700000, -76.6649200000)"
3/5/16,14:00:00,4B,1700 PENNSYLVANIA AVE,AGG. ASSAULT,KNIFE,Upton,"(39.3040000000, -76.6352700000)"
3/5/16,14:10:00,6G,100 N EUTAW ST,LARCENY,,Downtown,"(39.2910200000, -76.6209900000)"
3/5/16,15:10:00,4C,2400 DORTON CT,AGG. ASSAULT,OTHER,Westport,"(39.2622900000, -76.6404700000)"
3/5/16,1839,9S,800 ABBOTT CT,SHOOTING,FIREARM,Oldtown,"(39.3011600000, -76.6061400000)"
3/5/16,19:00:00,6D,2500 SPRINGHILL AVE,LARCENY FROM AUTO,,Park Circle,"(39.3329900000, -76.6585400000)"
3/5/16,19:10:00,4E,2100 W NORTH AVE,COMMON ASSAULT,HANDS,Easterwood,"(39.3095700000, -76.6516500000)"
3/5/16,19:15:00,7A,6600 EBERLE DR,AUTO THEFT,,Reisterstown Station,"(39.3548500000, -76.7101700000)"
3/5/16,19:15:00,6G,2900 O''DONNELL ST,LARCENY,,Canton,"(39.2800100000, -76.5753100000)"
3/5/16,19:28:00,4E,2700 W NORTH AVE,COMMON ASSAULT,HANDS,Walbrook,"(39.3092700000, -76.6637200000)"
3/5/16,19:37:00,4E,3500 COTTAGE AVE,COMMON ASSAULT,HANDS,Park Circle,"(39.3291700000, -76.6579000000)"
3/5/16,20:15:00,4C,3100 LYNDALE AVE,AGG. ASSAULT,OTHER,Four By Four,"(39.3164700000, -76.5789000000)"
3/5/16,20:20:00,7A,3700 PARK HEIGHTS AVE,AUTO THEFT,,Park Circle,"(39.3309200000, -76.6598600000)"
3/5/16,21:00:00,7A,5100 NORWOOD AVE,AUTO THEFT,,Howard Park,"(39.3288100000, -76.7028500000)"
3/5/16,21:32:00,4A,4400 PENNINGTON AVE,AGG. ASSAULT,FIREARM,Curtis Bay,"(39.2259200000, -76.5885500000)"
3/5/16,21:56:00,3B,GROVE ST & RAYNER AV,ROBBERY - STREET,,Franklintown Road,"(39.2962300000, -76.6650200000)"
3/5/16,2132,9S,4300 PENNINGTON AV,SHOOTING,FIREARM,Curtis Bay,"(39.2267500000, -76.5886300000)"
3/5/16,2132,9S,4300 PENNINGTON AV,SHOOTING,FIREARM,Curtis Bay,"(39.2267500000, -76.5886300000)"
3/5/16,22:00:00,6D,5200 FAIRLAWN AVE,LARCENY FROM AUTO,,Woodmere,"(39.3422900000, -76.6848000000)"
3/5/16,22:38:00,4B,1800 ORLEANS ST,AGG. ASSAULT,KNIFE,Dunbar-Broadway,"(39.2952900000, -76.5912900000)"
3/5/16,23:15:00,4E,1100 STEELTON AVE,COMMON ASSAULT,HANDS,Graceland Park,"(39.2809100000, -76.5362600000)"
3/5/16,23:21:00,4E,500 N HOWARD ST,COMMON ASSAULT,HANDS,Mount Vernon,"(39.2951400000, -76.6198300000)"
3/5/16,18:00:00,6B,0 S HOWARD ST,LARCENY,,Stadium Area,"(39.2756400000, -76.6214100000)"
3/5/16,18:30:00,3B,6500 SAINT HELENA AVE,ROBBERY - STREET,,Saint Helena,"(39.2598700000, -76.5311700000)"
3/5/16,18:39:00,4A,800 ABBOTT CT,AGG. ASSAULT,FIREARM,Oldtown,"(39.3011900000, -76.6054800000)"
3/5/16,1:45:00,3AF,100 REEDBIRD AVE,ROBBERY - STREET,FIREARM,Cherry Hill,"(39.2494100000, -76.6151200000)"
3/5/16,1:35:00,6D,1900 MCKEAN AVE,LARCENY FROM AUTO,,Mondawmin,"(39.3104500000, -76.6473400000)"
3/5/16,1:45:00,3AF,100 REEDBIRD AVE,ROBBERY - STREET,FIREARM,Cherry Hill,"(39.2494100000, -76.6151200000)"
3/5/16,1:57:00,6G,300 DOLPHIN ST,LARCENY,,Madison Park,"(39.3037500000, -76.6238700000)"
3/5/16,2:36:00,6G,1900 W LANVALE ST,LARCENY,,Midtown-Edmondson,"(39.2975700000, -76.6477300000)"
3/5/16,2:57:00,4E,3300 MORAVIA RD,COMMON ASSAULT,HANDS,Beverly Hills,"(39.3376800000, -76.5654600000)"
3/5/16,15:30:00,6D,2900 ELLIOTT ST,LARCENY FROM AUTO,,Canton,"(39.2792200000, -76.5748400000)"
3/5/16,16:00:00,6D,4900 BELAIR RD,LARCENY FROM AUTO,,Frankford,"(39.3352900000, -76.5557400000)"
3/5/16,4:51:00,4E,1700 N WOLFE ST,COMMON ASSAULT,HANDS,Broadway East,"(39.3101400000, -76.5915600000)"
3/5/16,1:00:00,4A,800 RICHWOOD AVE,AGG. ASSAULT,FIREARM,Richnor Springs,"(39.3464900000, -76.6050100000)"
3/5/16,5:35:00,6G,2700 GRINDON AVE,LARCENY,,Lauraville,"(39.3455400000, -76.5741800000)"
3/5/16,6:00:00,6D,700 S DECKER AVE,LARCENY FROM AUTO,,Canton,"(39.2840900000, -76.5734900000)"
3/5/16,6:41:00,5D,5200 YORK RD,BURGLARY,,York-Homeland,"(39.3520700000, -76.6098000000)"
3/5/16,6:45:00,6D,600 S ELLWOOD AVE,LARCENY FROM AUTO,,Canton,"(39.2851600000, -76.5728400000)"
3/5/16,7:10:00,4E,2900 SPELMAN RD,COMMON ASSAULT,HANDS,Cherry Hill,"(39.2450000000, -76.6272700000)"
3/5/16,8:00:00,6E,1500 WHITELOCK ST,LARCENY,,Penn North,"(39.3108200000, -76.6407600000)"
3/5/16,9:05:00,3K,4000 PARK HEIGHTS AVE,ROBBERY - RESIDENCE,,Central Park Heights,"(39.3352900000, -76.6632800000)"
3/5/16,17:30:00,6C,800 GUILFORD AVE,LARCENY,,Mount Vernon,"(39.2990100000, -76.6116400000)"
3/4/16,15:00:00,6C,1100 LIGHT ST,LARCENY,,Riverside,"(39.2763400000, -76.6122200000)"
3/4/16,15:05:00,4E,4100 SUNNYSIDE AVE,COMMON ASSAULT,HANDS,Reisterstown Station,"(39.3491600000, -76.6931200000)"
3/4/16,15:30:00,6J,1400 RICHARDSON ST,LARCENY,,Locust Point,"(39.2693700000, -76.5910500000)"
3/4/16,15:40:00,6D,200 ALBEMARLE ST,LARCENY FROM AUTO,,Little Italy,"(39.2872500000, -76.6030600000)"
3/4/16,15:45:00,6C,3000 N CHARLES ST,LARCENY,,Charles Village,"(39.3246200000, -76.6172200000)"
3/4/16,16:10:00,4E,1500 RUSSELL ST,COMMON ASSAULT,HANDS,Carroll - Camden Industrial Area,"(39.2740800000, -76.6276900000)"
3/4/16,16:30:00,6D,1100 WALTERS AVE,LARCENY FROM AUTO,,Glen Oaks,"(39.3591100000, -76.5968600000)"
3/4/16,1640,9S,2400 REISTERSTOWN RD,SHOOTING,FIREARM,Parkview/Woodbrook,"(39.3164300000, -76.6501500000)"
3/4/16,17:00:00,7A,1600 ARGONNE DR,AUTO THEFT,,Hillen,"(39.3401400000, -76.5904000000)"
3/4/16,17:50:00,6J,BALTIMORE ST & LIGHT ST,LARCENY,,Downtown,"(39.2895800000, -76.6138200000)"
3/4/16,18:00:00,6D,100 N JANNEY ST,LARCENY FROM AUTO,,Kresson,"(39.2941300000, -76.5608400000)"
3/4/16,18:04:00,5A,1000 MCDONOGH ST,BURGLARY,,Middle East,"(39.3025100000, -76.5935600000)"
3/4/16,18:10:00,4A,4300 FREDERICK AVE,AGG. ASSAULT,FIREARM,Irvington,"(39.2816700000, -76.6868000000)"
3/4/16,18:30:00,3JF,1500 MCCULLOH ST,ROBBERY - RESIDENCE,FIREARM,Upton,"(39.3044300000, -76.6301600000)"
3/4/16,18:30:00,3B,5000 SINCLAIR LN,ROBBERY - STREET,,Frankford,"(39.3221000000, -76.5481100000)"
3/4/16,18:30:00,5A,100 S MONROE ST,BURGLARY,,Carrollton Ridge,"(39.2859200000, -76.6467700000)"
3/4/16,21:30:00,4C,BELVEDERE AV & QUEENSBERRY AV,AGG. ASSAULT,OTHER,Central Park Heights,"(39.3508400000, -76.6725000000)"
3/4/16,21:30:00,6D,3800 HUDSON ST,LARCENY FROM AUTO,,Brewers Hill,"(39.2826100000, -76.5647100000)"
3/4/16,21:30:00,6E,2800 GUILFORD AVE,LARCENY,,Charles Village,"(39.3221700000, -76.6131700000)"
3/4/16,21:45:00,6D,2900 ELLIOTT ST,LARCENY FROM AUTO,,Canton,"(39.2791700000, -76.5745200000)"
3/4/16,21:50:00,4B,5100 ARBUTUS AVE,AGG. ASSAULT,KNIFE,Langston Hughes,"(39.3433300000, -76.6813100000)"
3/4/16,22:00:00,6D,FEDERAL ST & N CALVERT ST,LARCENY FROM AUTO,,Greenmount West,"(39.3077800000, -76.6135600000)"
3/4/16,22:00:00,7A,4000 FAIT AVE,AUTO THEFT,,Brewers Hill,"(39.2837500000, -76.5631000000)"
3/4/16,22:30:00,4E,2500 QUANTICO AVE,COMMON ASSAULT,HANDS,Greenspring,"(39.3382400000, -76.6602600000)"
3/4/16,22:45:00,4A,2400 REISTERSTOWN RD,AGG. ASSAULT,FIREARM,Parkview/Woodbrook,"(39.3164300000, -76.6501500000)"
3/4/16,23:00:00,4C,3400 PARKLAWN AVE,AGG. ASSAULT,OTHER,Belair-Edison,"(39.3244400000, -76.5753900000)"
3/4/16,23:01:00,4B,3800 OAKFORD AVE,AGG. ASSAULT,KNIFE,Dolfield,"(39.3360500000, -76.6799300000)"
3/4/16,23:15:00,5B,2100 E OLIVER ST,BURGLARY,,Broadway East,"(39.3077200000, -76.5881900000)"
3/4/16,7:30:00,7A,1600 W MULBERRY ST,AUTO THEFT,,Franklin Square,"(39.2930200000, -76.6430400000)"
3/4/16,7:40:00,5A,,BURGLARY,,,
3/4/16,8:00:00,4E,6100 METRO DR,COMMON ASSAULT,HANDS,Seton Business Park,"(39.3488400000, -76.7085200000)"
3/4/16,8:00:00,6D,5200 REISTERSTOWN RD,LARCENY FROM AUTO,,Woodmere,"(39.3444500000, -76.6856200000)"
3/4/16,8:15:00,5A,2600 GROGAN AVE,BURGLARY,,Berea,"(39.3064700000, -76.5808000000)"
3/4/16,8:18:00,6C,5700 WABASH AVE,LARCENY,,Seton Business Park,"(39.3474700000, -76.6990500000)"
3/4/16,8:20:00,3K,200 S REGESTER ST,ROBBERY - RESIDENCE,,Fells Point,"(39.2889500000, -76.5925000000)"
3/4/16,0:01:00,6D,ST & FLEET ST,LARCENY FROM AUTO,,Brewers Hill,"(39.2857600000, -76.5632900000)"
3/4/16,0:31:00,4E,1000 NEW HOPE CIR,COMMON ASSAULT,HANDS,Pleasant View Gardens,"(39.2938200000, -76.6026500000)"
3/4/16,2:00:00,6D,3200 DILLON ST,LARCENY FROM AUTO,,Canton,"(39.2813600000, -76.5705900000)"
3/4/16,2:02:00,4E,2900 O''DONNELL ST,COMMON ASSAULT,HANDS,Canton,"(39.2803600000, -76.5753200000)"
3/4/16,2:50:00,3CF,700 WASHINGTON BLVD,ROBBERY - COMMERCIAL,FIREARM,Washington Village/Pigtown,"(39.2832700000, -76.6265900000)"
3/4/16,2:54:00,4E,800 N PATTERSON PARK AVE,COMMON ASSAULT,HANDS,Milton-Montford,"(39.3002400000, -76.5851900000)"
3/4/16,4:00:00,6D,,LARCENY FROM AUTO,,,
3/4/16,4:14:00,6C,2700 BOSTON ST,LARCENY,,Canton,"(39.2791100000, -76.5779800000)"
3/4/16,5:30:00,5C,6300 WIRT AVE,BURGLARY,,Cross Country,"(39.3613000000, -76.6931200000)"
3/4/16,6:45:00,5C,700 MCHENRY ST,BURGLARY,,Barre Circle,"(39.2849200000, -76.6281600000)"
3/4/16,7:30:00,7A,2800 W GARRISON AVE,AUTO THEFT,,Cylburn,"(39.3497500000, -76.6674400000)"
3/4/16,7:30:00,5A,1000 WALNUT AVE,BURGLARY,,Rognel Heights,"(39.2962600000, -76.6908100000)"
3/4/16,18:33:00,3CF,1600 W NORTH AVE,ROBBERY - COMMERCIAL,FIREARM,Penn North,"(39.3100100000, -76.6431000000)"
3/4/16,18:45:00,7A,2700 EASTERN AVE,AUTO THEFT,,Canton,"(39.2861900000, -76.5777500000)"
3/4/16,19:00:00,4D,2500 ROBB ST,AGG. ASSAULT,HANDS,Coldstream Homestead Montebello,"(39.3185200000, -76.5980400000)"
3/4/16,19:20:00,3AF,AV & W LAFAYETTE AV,ROBBERY - STREET,FIREARM,Bolton Hill,"(39.3068700000, -76.6240200000)"
3/4/16,20:00:00,5A,300 N MONROE ST,BURGLARY,,Penrose/Fayette Street Outreach,"(39.2922700000, -76.6471900000)"
3/4/16,20:30:00,6D,800 S ELLWOOD AVE,LARCENY FROM AUTO,,Canton,"(39.2828300000, -76.5726800000)"
3/4/16,20:35:00,3AJF,GILMOR ST & W MULBERRY ST,ROBBERY - CARJACKING,FIREARM,Franklin Square,"(39.2930500000, -76.6426400000)"
3/4/16,21:00:00,5A,500 N FULTON AVE,BURGLARY,,Harlem Park,"(39.2948500000, -76.6455300000)"
3/4/16,21:00:00,5D,500 N FULTON AVE,BURGLARY,,Harlem Park,"(39.2948500000, -76.6455300000)"
3/4/16,21:00:00,7A,600 S EATON ST,AUTO THEFT,,Brewers Hill,"(39.2854300000, -76.5652000000)"
3/4/16,21:17:00,4E,3700 WOODRIDGE RD,COMMON ASSAULT,HANDS,Edgewood,"(39.2971900000, -76.6791200000)"
3/4/16,21:30:00,7A,5900 FENWICK AVE,AUTO THEFT,,Loch Raven,"(39.3623400000, -76.5830600000)"
3/4/16,8:40:00,4E,6600 SNOWBERRY CT,COMMON ASSAULT,HANDS,Hamilton Hills,"(39.3677400000, -76.5714700000)"
3/4/16,9:00:00,4C,1200 N ELLWOOD AVE,AGG. ASSAULT,OTHER,Berea,"(39.3054900000, -76.5741900000)"
3/4/16,9:00:00,5C,3800 DERBY MANOR DR,BURGLARY,,Greenspring,"(39.3337600000, -76.6572900000)"
3/4/16,9:10:00,4F,3000 S HANOVER ST,ASSAULT BY THREAT,,Middle Branch/Reedbird Parks,"(39.2513700000, -76.6149800000)"
3/4/16,9:50:00,6L,0 S GREENE ST,LARCENY,,University Of Maryland,"(39.2882900000, -76.6236700000)"
3/4/16,10:35:00,4E,0 S CHARLES ST,COMMON ASSAULT,HANDS,Downtown,"(39.2885400000, -76.6150300000)"
3/4/16,10:45:00,6G,600 N WOLFE ST,LARCENY,,Dunbar-Broadway,"(39.2975800000, -76.5908700000)"
3/4/16,11:00:00,4E,400 SOMERSET RD,COMMON ASSAULT,HANDS,Roland Park,"(39.3417900000, -76.6300400000)"
3/4/16,11:15:00,4E,900 FORREST ST,COMMON ASSAULT,HANDS,Penn-Fallsway,"(39.3006300000, -76.6078600000)"
3/4/16,11:50:00,4E,600 GLENWOOD AVE,COMMON ASSAULT,HANDS,Woodbourne-McCabe,"(39.3537500000, -76.6077800000)"
3/4/16,12:00:00,7A,800 WHITMORE AVE,AUTO THEFT,,Evergreen Lawn,"(39.2965600000, -76.6580000000)"
3/4/16,12:30:00,7A,3000 CHESLEY AVE,AUTO THEFT,,North Harford Road,"(39.3651800000, -76.5485400000)"
3/4/16,12:50:00,6E,600 MAUDE AVE,LARCENY,,Brooklyn,"(39.2384400000, -76.6011700000)"
3/4/16,13:00:00,6E,FERRY RD & HURON ST,LARCENY,,Mount Winans,"(39.2632800000, -76.6422500000)"
3/4/16,13:15:00,4E,0 N HOWARD ST,COMMON ASSAULT,HANDS,Downtown,"(39.2896900000, -76.6194100000)"
3/4/16,13:15:00,5A,1500 ARGONNE DR,BURGLARY,,Hillen,"(39.3400200000, -76.5928700000)"
3/4/16,13:51:00,3CO,6500 REISTERSTOWN RD,ROBBERY - COMMERCIAL,OTHER,Reisterstown Station,"(39.3564700000, -76.7029700000)"
3/4/16,14:00:00,6B,300 N EUTAW ST,LARCENY,,Downtown,"(39.2929800000, -76.6211900000)"
3/4/16,14:20:00,3CO,6500 REISTERSTOWN RD,ROBBERY - COMMERCIAL,OTHER,Reisterstown Station,"(39.3562900000, -76.7027300000)"
3/3/16,4:44:00,5D,3800 CLIFTON AVE,BURGLARY,,Mount Holly,"(39.3107500000, -76.6814900000)"
3/3/16,23:45:00,3B,BALTIMORE ST & N CAREY ST,ROBBERY - STREET,,Poppleton,"(39.2885600000, -76.6381500000)"
3/3/16,0:01:00,3D,5700 BELAIR RD,ROBBERY - COMMERCIAL,,Frankford,"(39.3425100000, -76.5453000000)"
3/3/16,0:15:00,3CF,1500 62ND ST,ROBBERY - COMMERCIAL,FIREARM,Pulaski Industrial Area,"(39.3110400000, -76.5310300000)"
3/3/16,1:20:00,4E,2300 DRUID HILL AVE,COMMON ASSAULT,HANDS,Penn North,"(39.3109100000, -76.6387300000)"
3/3/16,2:00:00,4B,400 E BALTIMORE ST,AGG. ASSAULT,KNIFE,Downtown,"(39.2897800000, -76.6096300000)"
3/3/16,2:27:00,7A,100 N CLINTON ST,AUTO THEFT,,Patterson Park Neighborhood,"(39.2939000000, -76.5709400000)"
3/3/16,3:00:00,4E,BALTIMORE ST & N GAY ST,COMMON ASSAULT,HANDS,Downtown,"(39.2897800000, -76.6089400000)"
3/3/16,3:55:00,4D,1000 RENICK CT,AGG. ASSAULT,HANDS,Brooklyn,"(39.2280100000, -76.5982300000)"
3/3/16,4:30:00,4C,5600 YORK RD,AGG. ASSAULT,OTHER,Homeland,"(39.3578500000, -76.6099500000)"
3/3/16,5:55:00,4C,1800 PENNSYLVANIA AVE,AGG. ASSAULT,OTHER,Upton,"(39.3043600000, -76.6357100000)"
3/3/16,6:30:00,5A,400 S REGESTER ST,BURGLARY,,Upper Fells Point,"(39.2862500000, -76.5923800000)"
3/3/16,7:30:00,5A,,BURGLARY,,,
3/3/16,7:30:00,5A,4800 LAUREL AVE,BURGLARY,,Cylburn,"(39.3482500000, -76.6655800000)"
3/3/16,7:32:00,4C,,AGG. ASSAULT,OTHER,,
3/3/16,8:00:00,6D,3500 NEWLAND RD,LARCENY FROM AUTO,,Guilford,"(39.3320200000, -76.6106000000)"
3/3/16,8:30:00,5A,5100 WHITEFORD AVE,BURGLARY,,Radnor-Winston,"(39.3501000000, -76.6136800000)"
3/3/16,8:42:00,6J,1800 W LANVALE ST,LARCENY,,Harlem Park,"(39.2976000000, -76.6469900000)"
3/3/16,832,1F,2300 N FULTON AV,HOMICIDE,FIREARM,Penn North,"(39.3153100000, -76.6440000000)"
3/3/16,10:00:00,4E,6400 PULASKI HWY,COMMON ASSAULT,HANDS,Pulaski Industrial Area,"(39.3041100000, -76.5408100000)"
3/3/16,10:00:00,4E,6400 PULASKI HWY,COMMON ASSAULT,HANDS,Pulaski Industrial Area,"(39.3041100000, -76.5408100000)"
3/3/16,10:30:00,6J,2800 E BIDDLE ST,LARCENY,,Biddle Street,"(39.3049200000, -76.5774100000)"
3/3/16,11:00:00,7A,2200 GUILFORD AVE,AUTO THEFT,,Barclay,"(39.3148100000, -76.6126900000)"
3/3/16,11:03:00,6J,200 E UNIVERSITY PKWY,LARCENY,,Oakenshawe,"(39.3307400000, -76.6149300000)"
3/3/16,11:10:00,6B,3000 GWYNNS FALLS PKWY,LARCENY,,Hanlon-Longwood,"(39.3145800000, -76.6681400000)"
3/3/16,11:30:00,4E,6600 WALTHER AVE,COMMON ASSAULT,HANDS,Rosemont East,"(39.3569200000, -76.5394500000)"
3/3/16,11:30:00,4E,6600 WALTHER AVE,COMMON ASSAULT,HANDS,Rosemont East,"(39.3569200000, -76.5394500000)"
3/3/16,11:30:00,5A,3800 W BELVEDERE AVE,BURGLARY,,Arlington,"(39.3452300000, -76.6815300000)"
3/3/16,11:45:00,7A,6200 WALTHER AVE,AUTO THEFT,,Glenham-Belhar,"(39.3517600000, -76.5427800000)"
3/3/16,12:00:00,6J,3500 HOWARD PARK AVE,LARCENY,,Howard Park,"(39.3312300000, -76.6989700000)"
3/3/16,12:05:00,4E,1200 N AUGUSTA AVE,COMMON ASSAULT,HANDS,Edmondson Village,"(39.3002100000, -76.6853200000)"
3/3/16,12:15:00,7A,ST & BAYARD ST,AUTO THEFT,,Carroll Park,"(39.2810700000, -76.6386800000)"
3/3/16,12:21:00,4F,2100 GUILFORD AVE,ASSAULT BY THREAT,,Barclay,"(39.3137400000, -76.6126300000)"
3/3/16,12:30:00,6L,AV & W NORTHERN PY,LARCENY,,Reisterstown Station,"(39.3456500000, -76.6968600000)"
3/3/16,12:30:00,3JO,5900 RADECKE AVE,ROBBERY - RESIDENCE,OTHER,Cedonia,"(39.3306900000, -76.5320400000)"
3/3/16,13:00:00,6E,6600 VINCENT LN,LARCENY,,Reisterstown Station,"(39.3552400000, -76.7088400000)"
3/3/16,13:30:00,6D,1600 HARTSDALE RD,LARCENY FROM AUTO,,Perring Loch,"(39.3505900000, -76.5861700000)"
3/3/16,13:38:00,6C,2400 LIBERTY HEIGHTS AVE,LARCENY,,Mondawmin,"(39.3186800000, -76.6539900000)"
3/3/16,14:00:00,5A,2600 BARCLAY ST,BURGLARY,,Harwood,"(39.3204200000, -76.6110800000)"
3/3/16,15:00:00,6D,400 NICOLL AVE,LARCENY FROM AUTO,,Lake Evesham,"(39.3659000000, -76.6103100000)"
3/3/16,15:00:00,6J,500 PARK AVE,LARCENY,,Mount Vernon,"(39.2950900000, -76.6182800000)"
3/3/16,15:00:00,6J,100 N WOLFE ST,LARCENY,,Washington Hill,"(39.2932300000, -76.5905300000)"
3/3/16,15:20:00,3AF,0 N HOWARD ST,ROBBERY - STREET,FIREARM,Madison Park,"(39.3032200000, -76.6205700000)"
3/3/16,16:00:00,6J,100 W UNIVERSITY PKWY,LARCENY,,Tuscany-Canterbury,"(39.3355000000, -76.6222300000)"
3/3/16,16:00:00,4E,6800 REISTERSTOWN RD,COMMON ASSAULT,HANDS,Reisterstown Station,"(39.3594500000, -76.7068200000)"
3/3/16,16:00:00,4E,4900 EASTERN AV,COMMON ASSAULT,HANDS,Greektown,"(39.2870600000, -76.5542200000)"
3/3/16,16:00:00,6D,600 S FAGLEY ST,LARCENY FROM AUTO,,Brewers Hill,"(39.2856100000, -76.5642400000)"
3/3/16,16:00:00,6J,2000 LINDEN AVE,LARCENY,,Reservoir Hill,"(39.3112000000, -76.6330600000)"
3/3/16,16:10:00,6C,2500 GWYNNS FALLS PKWY,LARCENY,,Mondawmin,"(39.3160500000, -76.6565800000)"
3/3/16,17:02:00,6J,3800 EASTERN AVE,LARCENY,,Highlandtown,"(39.2867300000, -76.5648300000)"
3/3/16,18:00:00,6E,100 S HILTON ST,LARCENY,,Saint Josephs,"(39.2835900000, -76.6722100000)"
3/3/16,18:05:00,4E,3800 ECHODALE AVE,COMMON ASSAULT,HANDS,Waltherson,"(39.3422600000, -76.5557100000)"
3/3/16,18:10:00,3CF,2100 E MONUMENT ST,ROBBERY - COMMERCIAL,FIREARM,CARE,"(39.2986200000, -76.5871100000)"
3/3/16,18:30:00,3JF,1400 MADISON AVE,ROBBERY - RESIDENCE,FIREARM,Madison Park,"(39.3041100000, -76.6281700000)"
3/3/16,18:30:00,5A,1400 MADISON AVE,BURGLARY,,Madison Park,"(39.3041100000, -76.6281700000)"
3/3/16,18:30:00,3AF,500 ROBERT ST,ROBBERY - STREET,FIREARM,Druid Heights,"(39.3066100000, -76.6345700000)"
3/3/16,19:05:00,4E,3100 SUMTER AVE,COMMON ASSAULT,HANDS,Central Park Heights,"(39.3420600000, -76.6675500000)"
3/3/16,19:30:00,6J,1600 BEASON ST,LARCENY,,Locust Point,"(39.2709200000, -76.5904800000)"
3/3/16,19:55:00,6J,6300 EASTERN AVE,LARCENY,,Pulaski Industrial Area,"(39.2876100000, -76.5398200000)"
3/3/16,20:00:00,6D,,LARCENY FROM AUTO,,,
3/3/16,20:30:00,6E,2100 ERDMAN AVE,LARCENY,,Montebello,"(39.3291900000, -76.5845200000)"
3/3/16,20:30:00,7A,6300 THE ALAMEDA,AUTO THEFT,,Glen Oaks,"(39.3716200000, -76.5948300000)"
3/3/16,20:47:39,2A,2900 HOLLINS FERRY RD,RAPE,OTHER,Lakeland,"(39.2550500000, -76.6463900000)"
3/3/16,21:00:00,6D,ST & FLEET ST,LARCENY FROM AUTO,,Brewers Hill,"(39.2857600000, -76.5632900000)"
3/3/16,21:00:00,6J,2900 CLIFTON AVE,LARCENY,,Walbrook,"(39.3112800000, -76.6668900000)"
3/3/16,21:20:00,4E,1600 N MONROE ST,COMMON ASSAULT,HANDS,Easterwood,"(39.3069700000, -76.6480300000)"
3/3/16,21:20:00,6J,6500 EASTERN AVE,LARCENY,,Pulaski Industrial Area,"(39.2877600000, -76.5357600000)"
3/3/16,21:23:00,4C,1500 PENNSYLVANIA AVE,AGG. ASSAULT,OTHER,Upton,"(39.3020400000, -76.6328500000)"
3/3/16,21:23:00,4C,1500 PENNSYLVANIA AVE,AGG. ASSAULT,OTHER,Upton,"(39.3020400000, -76.6328500000)"
3/3/16,21:23:00,4C,1500 PENNSYLVANIA AVE,AGG. ASSAULT,OTHER,Upton,"(39.3020400000, -76.6328500000)"
3/3/16,21:23:00,4C,1500 PENNSYLVANIA AVE,AGG. ASSAULT,OTHER,Upton,"(39.3020400000, -76.6328500000)"
